"General Configuration","Algemene Configuratie"
"You can find the necessary information in your WebwinkelKeur dashboard bottom of the page -Place WebwinkelKeur mark- <br/> As addition next to the activation of this extension we also recommend you to place the appropriate WebwinkelKeur logo and banner.<br/><br/>","U vindt de nodige gegevens in uw WebwinkelKeur dashboard onderaan de pagina onder <strong>Keurmerk plaatsen.</strong> <br/>Naast het activeren van deze module raden wij u ook aan om handmatig nog het nodige logo en bannermateriaal te plaatsen voor een goede conversie. <br/><br/>"
"Enabled","Enabled"
"API CREDENTIALS","API Gegevens"
"Webshop ID","Webshop ID"
"API Key","API Sleutel"
"URL","URL"
"You can find this information in your WebwinkelKeur account","Deze informatie is terug te vinden in uw WebwinkelKeur account."
"WebwinkelKeur Import Reviews","WebwinkelKeur Import Reviews"
"To display the latest reviews in your store, you must import the reviews. <br/> This can be done automatically or manually.<br/><br/>","Om de laatste beoordelingen weer te geven moeten deze geïmporteerd worden. <br/>Dit kan automatisch of handmatig.<br/><br/>"
"Import Automatically","Importeer automatisch"
"Last Update","Laatste update"
"Update Summary","Update samenvatting"
"Update Reviews","Update beoordelingen"
"Update Review History","Update historische beoordelingen"
"Process Manually","Handmatig inladen"
"Use the Magento Cronjob to use the automatically import. A cronjob is a daemon which keeps running and gets activated at a said interval (time period). Please make sure your default Magento Cron is working. If not, contact your hosting company for help.","Gebruik de Magento Cronjob om automatisch beoordelingen in te laden. Zorg ervoor dat de Magento Cronjob werkt, is dit niet het geval? Neem dan contact op met je hosting-partij"
"Select the schedule for automatic updating","Selecteer de tijdsperiode waarin de beoordelingen moeten worden geüpdate"
"Latest Reviews Visibility","Laatste Beoordelingen zichtbaarheid"
"Show the latest reviews directly in the right or left area of your store to gain trust and directly show your client reviews.<br/><br/>","Toon de laatste beoordelingen direct aan de rechter of linkerkant van de pagina om vertrouwen en op te bouwen.<br/><br/>"
"Left Sidebar","Linker Sidebar"
"Number of Reviews","Aantal beoordelingen"
"Character length of Reviews","Lengte van een beoordelingen"
"Link to","Link naar"
"Add Rich Snippets","Voeg Rich Snippets toe"
"You can only activate the Rich Snippets when this block is shown on your Homepage only","De Rich Snippets kunnen alleen worden geactiveerd wanneer dit blok op de homepage wordt vertoond."
